Bank_id,in_degree,out_degree,transaction_count,in_degree_sum,out_degree_sum,transaction_sum
16384,5,2,6,2275919.17,1228991.0899999999,3504910.26
1,626,1223,1717,340839171.63000005,311704894.940001,652544066.5700011
32769,1,1,1,1496.73,1496.73,2993.46
3,566,791,1191,2280373109.9444027,3753258207.16,6033631317.104403
4,349,426,713,1014095165.902289,1514639800.44,2528734966.342289
5,161,234,356,36917791.670022,28350512.08,65268303.750022
6,300,469,708,7009893905.789998,30709338072.909996,37719231978.7
7,472,575,975,5169666504.940025,7095237205.529999,12264903710.470024
8,146,192,307,18483867.46,13046014.149999999,31529881.61
9,141,205,315,199721719.32999998,658747746.5500001,858469465.8800001
10,832,1601,2254,953282918.8569369,20229113433.615135,21182396352.472073
11,252,587,796,80117206.25,86029589.759831,166146796.009831
12,828,1566,2234,4432811911.549999,23219875811.21065,27652687722.76065
32778,0,1,1,0.0,47.36,47.36
14,294,486,719,3092924324.9400005,393666900.54,3486591225.4800005
15,770,1091,1587,5716392722.243701,10587213998.363472,16303606720.607174
16,156,254,383,3405203598.92,5103360751.7,8508564350.62
131086,129,103,213,156685830.35999998,61946647.36,218632477.71999997
32779,0,1,1,0.0,1577.47,1577.47
19,252,379,579,48062207.9,268261429.36526,316323637.26526
20,460,821,1178,90383514.69999999,451221698.97281194,541605213.672812
21,137,187,295,1250023822.0500002,3991260135.83,5241283957.88
22,291,586,825,43643673.84,74918359.51,118562033.35000001
23,284,513,751,780975661.4499999,253522065.74,1034497727.1899999
24,148,212,333,515447147.2399999,24975341913.260002,25490789060.500004
32789,0,2,2,0.0,531.89,531.89
26,143,181,294,11525993.459999999,59677635.54,71203629.0
27,116,175,267,171188925.48,1134408558.5,1305597483.98
28,376,535,845,1402426121.6799998,1600628265.036853,3003054386.716853
29,87,130,195,42356400.019999996,46866896.39693099,89223296.41693099
32796,1,1,1,57.67,57.67,115.34
32790,1,2,2,310.43,6014.08,6324.51
16408,3,1,4,59384431.73,306537.53,59690969.26
344090,0,1,1,0.0,77.08,77.08
344092,1,1,1,23309.07,23309.07,46618.14
16418,96,53,144,1900725.5499999998,199002.64,2099728.19
32804,0,1,1,0.0,113.97,113.97
327717,1,1,1,60464.09,60464.09,120928.18
311334,0,2,2,0.0,707.19,707.19
311336,0,1,1,0.0,47172.65,47172.65
147497,12,1,12,15161.509999999998,23.58,15185.089999999998
32810,0,3,3,0.0,304.43,304.43
344108,0,1,1,0.0,669.49,669.49
32814,75,65,130,36095168.52,23188636.780000005,59283805.30000001
16431,73,54,117,7983598.56,848967.5599999999,8832566.12
327728,1,1,1,1149.01,1149.01,2298.02
32819,0,3,3,0.0,347.57,347.57
327731,1,1,1,1272.68,1272.68,2545.36
327739,0,1,1,0.0,7252.23,7252.23
32828,1,1,1,575.0,575.0,1150.0
32830,0,1,1,0.0,112.22,112.22
311358,1,1,1,56230.74,56230.74,112461.48
344129,0,1,1,0.0,73.7,73.7
32834,0,1,1,0.0,103.23,103.23
16450,74,63,130,10356545.770000001,18385146.58,28741692.35
311362,0,1,1,0.0,34184.56,34184.56
311365,0,1,1,0.0,0.19,0.19
70,60,8937,8997,121238.99,14911776533.16546,14911897772.15546
71,174,242,387,8435573968.389999,6123067213.67,14558641182.06
32838,0,1,1,0.0,566.35,566.35
32842,0,1,1,0.0,251.32,251.32
311373,1,1,1,64134.33,64134.33,128268.66
327758,0,1,1,0.0,125.89,125.89
32850,0,1,1,0.0,188.89,188.89
327762,0,2,2,0.0,179.36,179.36
311378,0,1,1,0.0,20852.35,20852.35
32853,0,2,2,0.0,251.79999999999998,251.79999999999998
311382,0,1,1,0.0,15191.62,15191.62
32855,2,2,2,35665.88,35665.88,71331.76
32856,0,1,1,0.0,185.91,185.91
344151,0,2,2,0.0,350.12,350.12
327770,1,1,1,13079.62,13079.62,26159.24
311384,1,1,1,84865.94,84865.94,169731.88
131167,22,12,31,2146990.0400000005,15168.899999999998,2162158.9400000004
327775,0,1,1,0.0,481.25,481.25
311394,0,1,1,0.0,16732.61,16732.61
311395,0,1,1,0.0,96448.17,96448.17
32870,0,1,1,0.0,209.22,209.22
147559,1,0,1,4963.64,0.0,4963.64
327787,0,1,1,0.0,134.3,134.3
110,100,157,230,214870519.72,254948266.94000003,469818786.66
112,190,305,455,27075097.304713,16666803.799999999,43741901.104713
113,126,185,287,48122392.73,1097364650.42,1145487043.15
327794,1,1,1,37116.91,37116.91,74233.82
115,101,106,185,32347272.430000003,16928488.22,49275760.650000006
116,428,646,955,104927193.93170601,66718264.050317004,171645457.982023
117,217,334,502,19210007.01,43808454.94,63018461.95
118,310,499,744,137815502.07999998,348750969.61999995,486566471.6999999
119,240,378,569,768298022.89,463996999.61,1232295022.5
32886,0,1,1,0.0,59.91,59.91
121,104,158,239,27786118.22,2860645833.8018303,2888431952.02183
327801,0,1,1,0.0,237.57,237.57
32888,0,1,1,0.0,2346.46,2346.46
124,192,275,404,4363.511057,5370.843855,9734.354911999999
311412,0,1,1,0.0,446.07,446.07
126,192,255,367,3816.976418,4195.120133000001,8012.096551000001
311414,0,2,2,0.0,510.08,510.08
311420,0,1,1,0.0,37.92,37.92
32897,0,1,1,0.0,376.45,376.45
32898,0,2,2,0.0,282.38,282.38
16515,2,1,3,96746.74,68124.28,164871.02000000002
16513,9,0,9,258441.94999999998,0.0,258441.94999999998
327813,0,2,2,0.0,1127.56,1127.56
32904,0,1,1,0.0,132.05,132.05
327819,0,2,2,0.0,901.79,901.79
32908,0,2,2,0.0,244.02,244.02
32910,0,2,2,0.0,245.7,245.7
311439,0,1,1,0.0,4831.52,4831.52
327825,0,1,1,0.0,3553.13,3553.13
213137,55,20,71,1546266.38,70993.86,1617260.24
32915,0,1,1,0.0,38.26,38.26
327829,0,1,1,0.0,4478.08,4478.08
