Bank_id,in_degree,out_degree,transaction_count,in_degree_sum,out_degree_sum,transaction_sum,money_laundering_fraction
0,15698,31992,44749,2598602878.801441,5060532859.234196,7659135738.035637,0.0015195870298777626
1,15778,33245,46341,8131844701.252047,9865454033.247751,17997298734.499798,0.0012084331369629487
2,8506,14325,21347,1143355242170.2031,463606689371.30457,1606961931541.5078,0.0001405349697849815
3,15067,32061,44288,2812609332.205468,6432925853.739303,9245535185.94477,0.0010612355491329479
4,8148,11880,18496,180531743501.19846,922205028137.7001,1102736771638.8984,0.00010813148788927336
5,8132,13945,20704,203012177668.0,335431789672.65015,538443967340.65015,9.659969088098918e-05
7,6117,9473,13852,440945256.97208405,2972299849.630091,3413245106.602175,0.0005053421888535952
8,13522,19691,30236,8826331803.68042,5145398145.404546,13971729949.084965,0.0002976584204259823
10,15888,24421,37006,20753642412.67285,22418667365.986244,43172309778.659096,0.0006755661244122575
11,66055,123456,177020,50506404093.23614,99993489960.42873,150499894053.66486,0.0009038526720144617
12,34960,64465,93159,612965640162.1569,387059845289.8291,1000025485451.986,0.0010090275765089792
13,13786,20076,30820,238863507404.9762,523852023404.7876,762715530809.7638,0.00016223231667748214
14,36313,64681,93865,109702090117.49797,128036646745.72406,237738736863.22205,0.0006924838864326426
15,10360,19594,27527,17460112072.030025,34282377175.117554,51742489247.14758,0.00043593562683910344
16,15927,20608,33005,953382516674.6118,113099159393.0485,1066481676067.6603,0.0002423875170428723
17,13070,18887,29708,3306906948.590016,7452726153.454234,10759633102.04425,0.00026928773394371884
18,34178,49932,76807,382383229025.3015,627546505159.3525,1009929734184.654,0.0003385108128165402
19,20741,29096,45332,179604258895.07977,245651183099.77664,425255441994.85645,0.00028677314038648194
20,56805,120114,163673,779996132180.2196,807090603661.154,1587086735841.3735,0.001154741466216175
23,15260,20666,32779,446359391259.9182,486836352481.5678,933195743741.4861,0.0012202934805820799
24,5844,8329,12659,957261331.900054,1560258765.909453,2517520097.809507,0.0002369855438818232
25,14134,20515,31897,340033991112.48474,172112169979.57468,512146161092.05945,0.00034486001818352825
26,18364,31665,47100,105966017117.91217,351310761429.4929,457276778547.4051,0.0001910828025477707
131099,2854,1351,3899,1053881282.88007,1042854092.2700701,2096735375.15014,0.0
27,17665,26182,40141,122559155787.96478,152874395100.04962,275433550888.0144,0.0008221020901322837
29,7221,9184,14944,1764946276.3658447,3448641908.9300065,5213588185.295851,0.0005353319057815846
70,4241,609991,614232,21035655.332946002,2119353357401.0515,2119374393056.3845,0.0013838419359460269
72,7669,12256,18729,96189604638.52768,217104433916.77826,313294038555.3059,0.0
131179,2140,886,2815,383232834.31999993,349281388.28,732514222.5999999,0.00035523978685612787
110,7949,11690,18287,4656688109.3,3931228493.2033243,8587916602.5033245,0.0003827855853885274
112,13052,17704,28244,9708519580.880001,7061004092.918041,16769523673.798042,0.00038946324883161026
113,11164,14249,23407,74877133721.20734,79674924193.51001,154552057914.71735,0.00029905583799718033
115,17467,25883,39874,22028931785.02549,33065397877.987877,55094329663.01337,0.00020063199077092843
116,9124,13074,20437,7270225024.133983,31763592135.252636,39033817159.38662,0.00024465430346919803
118,7978,13578,18686,229253.324449,241386.678766,470640.00321500003,0.00032109600770630417
262290,740,85,767,386121641.34999996,312939263.8699999,699060905.2199998,0.002607561929595828
131266,2476,1438,3669,127599809.75008999,167731441.99009,295331251.74018,0.0005451076587626056
262348,528,110,578,54511019.75000001,10129356.040000001,64640375.79000001,0.0
210,8529,12416,19245,15978887449.656422,12509659800.46346,28488547250.11988,0.0003637308391790075
211,6495,10510,15599,3178389955.89,4658116234.996482,7836506190.886482,0.00025642669401884736
212,14762,24657,35101,6028055675.2396755,11508752892.758472,17536808567.998146,0.00014244608415714651
213,6365,9391,14616,5763156846.610001,10061788496.034695,15824945342.644695,0.00020525451559934318
214,17454,27585,40455,21804568836.635483,12741577859.624578,34546146696.26006,0.00019775058707205537
215,5242,5477,9820,24977054608.580162,11153896211.259998,36130950819.840164,0.0004073319755600815
216,22103,36502,52041,16700098557.97285,29957928680.72252,46658027238.69537,0.00024980303991083955
217,18781,30406,44200,7551271278.546683,12940715858.967821,20491987137.514503,0.00020361990950226245
219,14938,24664,35212,1704004635.987251,2786025913.416694,4490030549.403945,0.00019879586504600703
262366,800,150,882,1637034311.8499997,12639379.569999998,1649673691.4199996,0.0
224,16103,34009,47476,9546995817.763546,15961937940.352793,25508933758.11634,0.0014744291852725588
131333,1874,994,2663,509025684.23,169950668.32,678976352.55,0.0003755163349605708
285,6913,7632,13308,240445682504.40002,125197602278.87749,365643284783.2775,0.00037571385632702135
131371,1761,706,2285,1079236932.9548578,24898654.410000004,1104135587.364858,0.00175054704595186
349,13865,25091,36859,4660504009.307782,7333226397.309917,11993730406.617699,0.0013565207954637944
262521,790,158,874,31152091.589999996,6433938.11,37586029.699999996,0.0
262530,663,125,729,194053951.22000003,22934090.01000001,216988041.23000005,0.0
394,14530,26041,38255,4795565765.520493,11705065134.669714,16500630900.190207,0.0010194745784864723
262542,326,72,359,10756477.12,9905797.73,20662274.85,0.0
262549,230,47,241,17626277.51,16696790.059999999,34323067.57,0.004149377593360996
423,14987,26691,39421,2502073673.002933,8726665204.824911,11228738877.827845,0.0011161563633596307
425,14796,27491,39893,3572992141.8598404,6018751667.49668,9591743809.356522,0.0015792244253377786
262622,494,153,577,20506622.890300002,6564406.0303,27071028.9206,0.0017331022530329288
498,13886,22844,34896,4822134557.79,7409370969.028847,12231505526.818848,0.0008310408069692801
531,13738,25093,36609,11221355574.890911,15822220980.313585,27043576555.2045,0.0007648392471796552
131636,2058,730,2560,104477566.53,162619439.841674,267097006.371674,0.001171875
131649,2341,630,2744,388025087.07,37926183.77,425951270.84,0.0
600,14125,23907,36153,3012895299.6699996,7622006557.46603,10634901857.13603,0.0009127873205543108
262777,768,132,838,100571873.93,4713132.2,105285006.13000001,0.0
692,9635,14659,22875,11532115900.569828,28995955388.818806,40528071289.38863,0.00017486338797814208
262844,520,129,602,147263093.45000002,151297288.28,298560381.73,0.0
131787,2423,1044,3237,3333870426.09031,56659070.370000005,3390529496.46031,0.0
131857,2628,887,3269,1429563053.84446,1099168056.53,2528731110.37446,0.0003059039461609055
263025,8310,9259,16512,4707308952.857378,8304578455.077055,13011887407.934433,0.0004239341085271318
263044,128,38,150,3212616.01,292910.85000000003,3505526.86,0.0
132004,2422,959,3138,729629161.194008,130635458.57,860264619.764008,0.0006373486297004461
132021,2849,1329,3884,1004136113.1302038,273908240.970204,1278044354.1004078,0.00025746652935118434
263186,7644,7653,14285,5739742366.675173,6695004154.810168,12434746521.48534,0.00035001750087504374
263190,653,135,742,10947514.86,5134683.100000001,16082197.96,0.0
1110,11137,17419,26988,4049723384.366679,5403953381.609975,9453676765.976654,0.0010745516525863348
1120,11349,17352,27259,5505884656.346251,4559713274.0981245,10065597930.444374,0.0005869621042591438
1126,12432,17598,28518,6776195327.616885,3823900436.650928,10600095764.267813,0.0007714425976576198
1135,5803,7333,12087,23747391992.239998,38703613832.09233,62451005824.33233,0.0004964010920824026
